repo_new3/DataCodes3/362/b_362_13122_1.py,-0.8491865511971295 0.1405733074988879 -0.7885299477707506 -0.059661908234042174 -0.6344648489198301 0.6365343038839438 -1.0660684915776304 0.6871849145278307 0.7083737259508834 -1.0537123827708226 
repo_new3/DataCodes3/362/b_362_23128_1.py,-0.7950590636746988 0.219754267050811 -0.674170799531356 -0.07422873348915959 -0.7249249022598948 0.6399539166903444 -0.9355118579142526 0.754716983786311 0.7456556118559726 -1.1470108267693444 
repo_new3/DataCodes3/362/c_362_23128_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_15509_1.py,-0.8642256457491813 0.18828882404335118 -0.748679108747474 -0.05806327533837129 -0.7101766196172652 0.661032321929215 -1.0444863459600147 0.7581863076696783 0.7638546143720675 -1.1501356875425346 
repo_new3/DataCodes3/362/c_362_15509_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_14908_1.py,-0.7743725240910845 0.18387878049167752 -0.6600980259798548 -0.023971751902094933 -0.6448227691992159 0.6286849968359323 -0.980899710820185 0.6936222860915887 0.7052529056284863 -1.0516007088473447 
repo_new3/DataCodes3/362/c_362_14908_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_47553_1.py,-0.8326625812931489 0.20286867982185758 -0.7173195087042112 -0.06201655002327429 -0.7166880661723659 0.651108927399029 -0.9954241446430289 0.7593867194695808 0.7587562723519821 -1.1442594925388352 
repo_new3/DataCodes3/362/c_362_47553_2.py,-0.8326625812931489 0.20286867982185758 -0.7173195087042112 -0.06201655002327429 -0.7166880661723659 0.651108927399029 -0.9954241446430289 0.7593867194695808 0.7587562723519821 -1.1442594925388352 
repo_new3/DataCodes3/362/b_362_42466_1.py,-0.8504850364351689 0.21336927420201154 -0.7175360262594851 -0.04609175980972024 -0.7363627648836499 0.6621216256402863 -0.9901605650388697 0.7964027682742268 0.7868002229763424 -1.169101884181826 
repo_new3/DataCodes3/362/c_362_42466_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_49681_1.py,-0.81997734031304 0.20885835724265528 -0.7162235380509251 -0.06498120208965323 -0.7245883200256522 0.6424131507303578 -0.9634311372330046 0.7691478124739075 0.7642538036442794 -1.1331429537625737 
repo_new3/DataCodes3/362/c_362_49681_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_23662_1.py,-0.7944767071373809 0.22082915691664706 -0.6784282526084915 -0.06697893345619305 -0.7249444155928519 0.6391672035740249 -0.9353280549668169 0.7609891394902614 0.7524402877882598 -1.1383193552986977 
repo_new3/DataCodes3/362/c_362_23662_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_18405_1.py,-0.8092133672337543 0.2077343161231738 -0.6537237844303176 -0.06426206246383884 -0.7115069309860519 0.6373076998245912 -0.944893494941393 0.744398315978485 0.7330782451659132 -1.1532247354008616 
repo_new3/DataCodes3/362/c_362_18405_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_27865_1.py,-0.7944767071373809 0.22082915691664706 -0.6784282526084915 -0.06697893345619305 -0.7249444155928519 0.6391672035740249 -0.9353280549668169 0.7609891394902614 0.7524402877882598 -1.1383193552986977 
repo_new3/DataCodes3/362/c_362_27865_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_43876_1.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/c_362_43876_2.py,-0.8565578834702636 0.1307255012659841 -0.7828176521888474 -0.07598750346296683 -0.6266896653092711 0.6378054025691365 -1.0799829947613862 0.6636722542240892 0.6863897614731068 -1.0706342173718633 
repo_new3/DataCodes3/362/b_362_3777_1.py,-0.8725037201911082 0.12036599312177505 -0.7682795098948619 -0.0470519485327008 -0.6161539070977956 0.6467141338480386 -1.1317959751956719 0.6531651555679001 0.6854477947364941 -1.0723992516085528 
