42,0,1
42,1,2
42,2,1
65,0,2
65,1,2
65,2,1
65,3,13
65,4,23
65,5,14
199,0,2
199,1,7
470,0,2
470,1,6
470,2,2
470,3,7
509,0,1
509,1,5
509,2,1
509,3,7
509,4,9
680,0,2
680,1,5
680,2,2
680,3,7
680,4,11
689,0,2
689,1,2
689,2,2
948,0,2
948,1,7
948,2,2
1143,0,2
1143,1,6
1143,2,1
1143,3,6
1143,4,7
1167,0,1
1167,1,1
1193,0,1
1193,1,5
1211,0,2
1211,1,7
1211,2,2
1336,0,2
1336,1,7
1336,2,1
1336,3,7
1336,4,7
1336,5,14
1632,0,2
1632,1,7
1632,2,2
1632,3,5
1753,0,2
1753,1,2
1753,2,1
1753,3,7
1755,0,1
1755,1,4
1755,2,2
1871,0,2
1871,1,7
1872,0,2
1872,1,4
1872,2,2
1920,0,2
1920,1,6
1920,2,2
1920,3,6
1920,4,11
1920,5,14
1965,0,2
1965,1,5
1965,2,2
1965,3,7
2060,0,1
2060,1,4
2226,0,2
2226,1,6
2226,2,2
2270,0,2
2270,1,3
2270,2,2
2270,3,5
2270,4,9
2270,5,14
2277,0,2
2277,1,6
2277,2,1
2292,0,1
2292,1,1
2327,0,1
2327,1,6
2327,2,2
2327,3,13
2327,4,12
2327,5,14
2338,0,1
2338,1,6
2338,2,2
2494,0,2
2494,1,4
2494,2,2
2494,3,3
2494,4,3
2494,5,5
2580,0,1
2580,1,6
2580,2,2
2580,3,3
2615,0,1
2615,1,2
2998,0,1
2998,1,4
2998,2,2
2998,3,5
3023,0,1
3023,1,2
3023,2,2
3023,3,13
3031,0,1
3031,1,7
3090,0,1
3090,1,5
3090,2,2
3125,0,1
3125,1,3
3130,0,2
3130,1,6
3150,0,2
3150,1,7
3151,0,1
3151,1,5
3160,0,1
3160,1,3
3160,2,2
3317,0,2
3317,1,7
3317,2,1
3317,3,6
3334,0,2
3334,1,2
3334,2,1
3334,3,5
3334,4,11
3363,0,1
3363,1,4
3543,0,1
3543,1,2
3686,0,2
3686,1,7
3686,2,1
3743,0,1
3743,1,7
3854,0,2
3854,1,5
3854,2,2
3854,3,4
3854,4,7
4092,0,1
4092,1,1
4092,2,2
4129,0,1
4129,1,2
4129,2,2
4129,3,5
4156,0,1
4156,1,5
4156,2,2
4202,0,1
4202,1,4
4202,2,2
4202,3,5
4262,0,2
4262,1,6
4262,2,2
4262,3,3
4262,4,6
4553,0,2
4553,1,3
4553,2,2
4553,3,3
4732,0,2
4732,1,2
4732,2,2
4732,3,13
4732,4,23
4732,5,5
4790,0,2
4790,1,4
4790,2,1
4790,3,3
4790,4,23
4790,5,5
5188,0,2
5188,1,1
5188,2,2
5204,0,2
5204,1,7
5204,2,1
5224,0,2
5224,1,5
5224,2,2
5272,0,1
5272,1,1
5272,2,2
5273,0,2
5273,1,2
5273,2,1
5348,0,2
5348,1,7
5348,2,2
5348,3,5
5348,4,8
5348,5,14
5366,0,1
5366,1,3
5366,2,2
5380,0,2
5380,1,2
5380,2,1
5533,0,2
5533,1,5
5533,2,2
5533,3,7
5539,0,2
5539,1,5
5565,0,2
